x,y,u
1.171875e-01,1.171875e-02,1.324690e-02
1.210938e-01,1.171875e-02,1.366733e-02
1.250000e-01,1.171875e-02,1.408569e-02
1.289062e-01,1.171875e-02,1.450193e-02
1.328125e-01,1.171875e-02,1.491599e-02
1.367188e-01,1.171875e-02,1.532781e-02
1.406250e-01,1.171875e-02,1.573731e-02
1.445312e-01,1.171875e-02,1.614445e-02
1.484375e-01,1.171875e-02,1.654915e-02
1.523438e-01,1.171875e-02,1.695136e-02
1.562500e-01,1.171875e-02,1.735102e-02
1.601562e-01,1.171875e-02,1.774807e-02
1.640625e-01,1.171875e-02,1.814244e-02
1.679688e-01,1.171875e-02,1.853408e-02
1.718750e-01,1.171875e-02,1.892293e-02
1.757812e-01,1.171875e-02,1.930893e-02
1.796875e-01,1.171875e-02,1.969202e-02
1.835938e-01,1.171875e-02,2.007215e-02
1.875000e-01,1.171875e-02,2.044925e-02
1.914062e-01,1.171875e-02,2.082328e-02
1.953125e-01,1.171875e-02,2.119417e-02
1.992188e-01,1.171875e-02,2.156186e-02
2.031250e-01,1.171875e-02,2.192631e-02
2.070312e-01,1.171875e-02,2.228746e-02
2.109375e-01,1.171875e-02,2.264525e-02
2.148438e-01,1.171875e-02,2.299963e-02
2.187500e-01,1.171875e-02,2.335055e-02
2.226562e-01,1.171875e-02,2.369795e-02
2.265625e-01,1.171875e-02,2.404178e-02
2.304688e-01,1.171875e-02,2.438199e-02
2.343750e-01,1.171875e-02,2.471853e-02
2.382812e-01,1.171875e-02,2.505135e-02
2.421875e-01,1.171875e-02,2.538039e-02
2.460938e-01,1.171875e-02,2.570561e-02
2.500000e-01,1.171875e-02,2.602696e-02
2.539062e-01,1.171875e-02,2.634439e-02
2.578125e-01,1.171875e-02,2.665786e-02
2.617188e-01,1.171875e-02,2.696731e-02
2.656250e-01,1.171875e-02,2.727270e-02
2.695312e-01,1.171875e-02,2.757398e-02
2.734375e-01,1.171875e-02,2.787110e-02
2.773438e-01,1.171875e-02,2.816404e-02
